STATE,ST_CASE,VEH_NO,PVE_Forms,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PVINTYPE,PVINMAKE,PVINA_MOD,PVIN_BT,PVINMODYR,PVIN_LNGT,PVIN_WGT,PWGTCD_TR,PWHLBS_LG,PWHLBS_SH,PSER_TR,PFUECODE,PMCYCL_DS,PCARBUR,PCYLINDER,PDISPLACE,PMCYCL_CY,PMCYCL_WT,PTIRE_SZE,PTON_RAT,PTRK_WT,PTRKWTVAR,PVIN_REST,PWHLDRWHL,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS
4,40385,2,1,0,30,7,0,35,14,0,2,0,4,6,82,881,82881,66,2000,1FUWDSEAXYLG,1,F,U,W,D,S,E,A,X,Y,L,G,T,FRHT,FLD,TR,0,17,,7,0,0,CON,D,,,6,774,,,,,00000,00,,42,2,57,882268,57882268,3,7,1,1,0,0,0,0,0,0,0,0,6,2,1,12,0,0,0,0
4,40486,2,1,0,12,8,3,27,30,0,3,0,4,6,20,2,20002,4,1978,1L69U8S19287,1,L,6,9,U,8,S,1,9,2,8,7,P,CHEV,IMP,4D,78,13,3510,,0,1160,,G,,2,8,305,,,15FR78,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,63,6,9,12,0,0,0,0
4,40521,2,1,0,30,9,12,13,14,0,2,0,4,6,12,481,12481,31,1997,1FTDF0724VKA,1,F,T,D,F,0,7,2,4,V,K,A,T,FORD,F15,PK,97,17,,1,0,1200,COF,G,,,6,256,,,,B,3930,00,E,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,61,6,2,12,0,0,0,0
4,40536,2,1,0,24,9,17,58,38,0,3,0,4,6,35,472,35472,30,2005,1N6AD07UX5C4,1,N,6,A,D,0,7,U,X,5,C,4,T,NISS,CEO,CW,5,17,,1,0,1259,FRT,G,,,6,244,,,,C,4108,00,K,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,62,4,4,12,0,0,0,0
4,40585,2,1,0,27,10,5,12,14,0,2,0,4,6,18,3,18003,4,1997,1G4CU5214V46,1,G,4,C,U,5,2,1,4,V,4,6,P,BUIC,PAU,4D,97,17,3879,,0,1138,,G,,Z,6,231,,,16R225,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,6,2,12,0,0,0,0
4,40650,2,1,0,14,11,10,49,18,0,4,0,4,6,20,881,20881,61,2008,1GBJC34K58E1,1,G,B,J,C,3,4,K,5,8,E,1,T,CHEV,SC3,CB,8,17,,3,1615,1370,SIL,G,,,8,366,,,,D,5745,00,,42,0,88,888888888,88888888888,2,1,97,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0
4,40713,2,1,0,12,12,7,9,53,0,3,0,4,6,12,481,12481,31,1960,F10C0R52342,F,1,0,C,0,R,5,2,3,4,2,,T,FORD,,,60,11,,,,,,,,,,,,,,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,99,2,4,12,0,0,0,0
5,50088,1,1,0,15,3,13,7,14,0,2,0,5,6,7,481,7481,31,1991,1B6ME36C1MS3,1,B,6,M,E,3,6,C,1,M,S,3,T,DODG,D30,CB,91,17,,3,1590,1310,D30,D,,,6,359,,,,D,3847,01,A,42,1,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,14,4,3,12,0,0,0,0
5,50253,1,1,0,1,7,19,25,5,0,3,0,5,6,72,706,72706,80,2005,1HD1FYW135Y6,1,H,D,1,F,Y,W,1,3,5,Y,6,M,HD,RSI,RS,5,17,,,,,,,1450,,2,,4,721,,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,2,14,0,0,0,0
5,50257,2,1,0,6,7,21,38,14,0,3,0,5,6,20,481,20481,31,1985,1GCFC24H4FJ1,1,G,C,F,C,2,4,H,4,F,J,1,T,CHEV,C20,PK,85,17,,2,1645,1315,C20,G,,,8,305,,,,C,3476,17,,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,9,8,4,14,0,0,0,0
