STATE,ST_CASE,VEH_NO,PER_NO,MPR_ACT
6,61434,0,1,3
6,61439,0,1,3
6,61440,0,1,3
6,61443,0,1,3
6,61449,0,1,3
6,61453,0,1,3
6,61461,0,1,7
6,61464,0,1,6
6,61466,0,1,9
6,61474,0,1,3
6,61478,0,1,16
6,61479,0,1,3
6,61480,0,1,5
6,61487,0,1,3
6,61491,0,1,3
6,61494,0,1,5
6,61500,0,1,3
6,61506,0,1,8
6,61510,0,1,3
6,61514,0,1,3
6,61525,0,1,5
6,61532,0,1,3
6,61538,0,1,5
6,61540,0,1,3
6,61543,0,1,3
6,61549,0,1,3
6,61551,0,1,15
6,61554,0,1,6
6,61555,0,1,3
6,61559,0,1,3
6,61560,0,1,3
6,61563,0,1,8
6,61566,0,1,5
6,61568,0,1,3
6,61570,0,1,3
6,61571,0,1,3
6,61573,0,1,5
6,61585,0,1,3
6,61587,0,1,5
6,61589,0,1,8
6,61590,0,1,3
6,61592,0,1,3
6,61595,0,1,3
6,61597,0,1,3
6,61601,0,1,3
6,61603,0,1,14
6,61603,0,2,14
6,61605,0,1,5
6,61608,0,1,3
6,61609,0,1,3
6,61610,0,1,3
6,61611,0,1,5
6,61613,0,1,5
6,61619,0,1,3
6,61623,0,1,3
6,61625,0,1,14
6,61627,0,1,5
6,61629,0,1,3
6,61635,0,1,3
6,61639,0,1,3
6,61650,0,1,3
6,61652,0,1,9
6,61653,0,1,5
6,61657,0,1,3
6,61658,0,1,5
6,61659,0,1,3
6,61661,0,1,3
6,61662,0,1,3
6,61664,0,1,3
6,61665,0,1,6
6,61668,0,1,9
6,61668,0,2,9
6,61670,0,1,5
6,61674,0,1,5
6,61680,0,1,3
6,61682,0,1,3
6,61684,0,1,3
6,61695,0,1,98
6,61707,0,1,3
6,61711,0,1,5
6,61713,0,1,5
6,61718,0,1,3
6,61719,0,1,5
6,61722,0,1,3
6,61723,0,1,6
6,61727,0,1,12
6,61729,0,1,3
6,61734,0,1,12
6,61739,0,1,6
6,61740,0,1,3
6,61740,0,2,3
6,61740,0,3,3
6,61744,0,1,3
6,61746,0,1,3
6,61747,0,1,5
6,61755,0,1,8
6,61758,0,1,3
6,61763,0,1,5
6,61765,0,1,3
6,61768,0,1,3
6,61770,0,1,3
6,61772,0,1,3
6,61778,0,1,3
6,61781,0,1,3
6,61790,0,1,5
6,61791,0,1,3
6,61792,0,1,3
6,61798,0,1,3
6,61799,0,1,3
6,61799,0,2,3
6,61802,0,1,3
6,61807,0,1,3
6,61808,0,1,3
6,61809,0,1,3
6,61810,0,1,3
6,61815,0,1,3
6,61817,0,1,5
6,61818,0,1,3
6,61820,0,1,3
6,61824,0,1,3
6,61826,0,1,3
6,61830,0,1,3
6,61831,0,1,3
6,61832,0,1,3
6,61833,0,1,3
6,61834,0,1,3
6,61838,0,1,3
6,61839,0,1,3
6,61840,0,1,3
6,61842,0,1,3
6,61850,0,1,3
6,61852,0,1,3
6,61853,0,1,3
6,61857,0,1,3
6,61859,0,1,3
6,61860,0,1,3
6,61864,0,1,3
6,61867,0,1,14
6,61867,0,2,14
6,61874,0,1,3
6,61887,0,1,3
6,61888,0,1,3
6,61891,0,1,8
6,61892,0,1,3
6,61894,0,1,3
6,61896,0,1,3
6,61899,0,1,5
6,61910,0,1,3
6,61911,0,1,7
6,61915,0,1,14
6,61922,0,1,3
6,61926,0,1,3
6,61927,0,1,3
6,61928,0,1,3
6,61934,0,1,3
6,61935,0,1,3
6,61936,0,1,3
6,61940,0,1,3
