STATE,ST_CASE,EVENTNUM,VNUMBER1,AOI1,SOE,VNUMBER2,AOI2
1,10132,1,1,12,12,2,6
1,10132,2,1,55,63,5555,55
1,10132,3,1,12,24,9999,77
1,10132,4,1,0,1,9999,77
1,10133,1,1,55,68,5555,55
1,10133,2,1,55,64,5555,55
1,10133,3,1,12,42,9999,77
1,10134,1,1,12,12,2,10
1,10135,1,1,55,63,5555,55
1,10135,2,1,12,32,9999,77
1,10135,3,1,55,67,5555,55
1,10135,4,1,12,42,9999,77
1,10136,1,2,12,12,1,3
1,10137,1,1,55,63,5555,55
1,10137,2,1,55,69,5555,55
1,10137,3,1,55,68,5555,55
1,10137,4,1,55,64,5555,55
1,10137,5,1,12,42,9999,77
1,10138,1,1,55,63,5555,55
1,10138,2,1,55,69,5555,55
1,10138,3,1,55,64,5555,55
1,10138,4,1,14,58,9999,77
1,10138,5,1,11,19,9999,77
1,10139,1,1,55,63,5555,55
1,10139,2,1,55,69,5555,55
1,10139,3,1,55,68,5555,55
1,10139,4,1,55,64,5555,55
1,10139,5,1,2,32,9999,77
1,10139,6,1,12,38,9999,77
1,10139,7,1,3,42,9999,77
1,10140,1,1,55,68,5555,55
1,10140,2,1,55,64,5555,55
1,10140,3,1,12,42,9999,77
1,10141,1,1,55,68,5555,55
1,10141,2,1,3,12,2,12
1,10142,1,2,12,12,1,9
1,10143,1,2,12,12,1,3
1,10143,2,3,4,12,2,1
1,10144,1,1,12,12,2,12
1,10145,1,1,55,64,5555,55
1,10145,2,1,12,32,9999,77
1,10146,1,1,55,63,5555,55
1,10146,2,1,12,42,9999,77
1,10147,1,1,0,1,9999,77
1,10147,2,1,55,63,5555,55
1,10147,3,1,11,24,9999,77
1,10148,1,1,55,63,5555,55
1,10148,2,1,55,69,5555,55
1,10148,3,1,55,68,5555,55
1,10148,4,1,55,64,5555,55
1,10148,5,1,3,42,9999,77
1,10148,6,1,0,1,9999,77
1,10149,1,1,12,8,9999,77
1,10150,1,1,1,12,2,8
1,10150,2,1,55,68,5555,55
1,10150,3,1,12,12,3,12
1,10151,1,1,55,63,5555,55
1,10151,2,1,12,42,9999,77
1,10151,3,1,8,42,9999,77
1,10152,1,1,55,63,5555,55
1,10152,2,1,12,23,9999,77
1,10152,3,1,0,2,9999,77
1,10153,1,1,55,63,5555,55
1,10153,2,1,0,1,9999,77
1,10154,1,1,55,63,5555,55
1,10154,2,1,55,69,5555,55
1,10154,3,1,55,63,5555,55
1,10154,4,1,11,42,9999,77
1,10154,5,1,0,1,9999,77
1,10154,6,1,98,42,9999,77
1,10154,7,1,0,2,9999,77
1,10155,1,1,55,68,5555,55
1,10155,2,1,55,63,5555,55
1,10155,3,1,12,42,9999,77
1,10155,4,1,98,42,9999,77
1,10156,1,1,55,63,5555,55
1,10156,2,1,0,1,9999,77
1,10157,1,1,55,68,5555,55
1,10157,2,1,55,68,5555,55
1,10157,3,1,55,63,5555,55
1,10157,4,1,55,69,5555,55
1,10157,5,1,55,68,5555,55
1,10157,6,1,55,64,5555,55
1,10157,7,1,12,25,9999,77
1,10158,1,1,12,12,2,10
1,10159,1,1,12,12,2,6
1,10159,2,2,55,63,5555,55
1,10159,3,2,12,24,9999,77
1,10159,4,2,55,67,5555,55
1,10159,5,2,13,21,9999,77
1,10159,6,2,0,2,9999,77
1,10160,1,1,55,63,5555,55
1,10160,2,1,55,69,5555,55
1,10160,3,1,55,68,5555,55
1,10160,4,1,55,64,5555,55
1,10160,5,1,10,42,9999,77
1,10161,1,1,55,68,5555,55
