STATE,ST_CASE,EVENTNUM,VEH_NO,VEventNum,VNUMBER1,AOI1,SOE,VNUMBER2,AOI2
1,10052,3,3,1,3,55,63,5555,55
1,10052,5,3,2,3,12,12,1,12
1,10053,1,1,1,1,55,63,5555,55
1,10053,2,1,2,1,5,42,9999,77
1,10053,3,1,3,1,12,42,9999,77
1,10053,4,1,4,1,13,42,9999,77
1,10053,5,1,5,1,0,2,9999,77
1,10054,1,1,1,1,55,68,5555,55
1,10054,2,1,2,2,12,12,1,9
1,10054,2,2,1,2,12,12,1,9
1,10055,1,1,1,1,55,64,5555,55
1,10055,2,1,2,1,55,62,5555,55
1,10055,3,1,3,1,1,24,9999,77
1,10055,4,1,4,1,55,63,5555,55
1,10055,5,1,5,1,0,1,9999,77
1,10056,1,1,1,1,55,68,5555,55
1,10056,2,1,2,1,55,68,5555,55
1,10056,3,1,3,1,55,68,5555,55
1,10056,4,1,4,2,12,12,1,2
1,10056,4,2,1,2,12,12,1,2
1,10057,1,1,1,1,55,63,5555,55
1,10057,2,1,2,1,10,42,9999,77
1,10057,3,1,3,1,8,42,9999,77
1,10058,1,1,1,1,55,63,5555,55
1,10058,2,1,2,1,0,1,9999,77
1,10058,3,1,3,1,11,42,9999,77
1,10059,1,1,1,1,55,68,5555,55
1,10059,2,1,2,1,12,12,2,12
1,10059,2,2,1,1,12,12,2,12
1,10060,1,1,1,1,12,12,2,1
1,10060,1,2,1,1,12,12,2,1
1,10061,1,1,1,1,55,68,5555,55
1,10061,2,1,2,1,55,64,5555,55
1,10061,3,1,3,1,11,42,9999,77
1,10062,1,1,1,1,55,68,5555,55
1,10062,2,1,2,1,12,12,2,12
1,10062,3,1,3,1,55,68,5555,55
1,10062,4,1,4,1,1,12,3,8
1,10062,2,2,1,1,12,12,2,12
1,10062,4,3,1,1,1,12,3,8
1,10063,1,1,1,1,55,63,5555,55
1,10063,2,1,2,1,55,69,5555,55
1,10063,3,1,3,1,55,68,5555,55
1,10063,4,1,4,1,55,68,5555,55
1,10063,5,1,5,1,55,63,5555,55
1,10063,6,1,6,1,9,42,9999,77
1,10063,7,1,7,1,0,1,9999,77
1,10064,1,1,1,1,12,12,2,6
1,10064,2,1,2,1,55,63,5555,55
1,10064,3,1,3,1,1,53,9999,77
1,10064,4,1,4,1,12,43,9999,77
1,10064,5,1,5,1,55,67,5555,55
1,10064,6,1,6,1,99,41,9999,77
1,10064,1,2,1,1,12,12,2,6
1,10065,1,1,1,1,55,68,5555,55
1,10065,2,1,2,1,12,12,2,12
1,10065,5,1,3,3,12,12,1,9
1,10065,2,2,1,1,12,12,2,12
1,10065,3,2,2,2,55,63,5555,55
1,10065,4,2,3,2,81,24,9999,77
1,10065,5,3,1,3,12,12,1,9
1,10066,1,1,1,1,55,63,5555,55
1,10066,2,1,2,1,55,69,5555,55
1,10066,3,1,3,1,55,63,5555,55
1,10066,4,1,4,1,1,42,9999,77
1,10067,1,1,1,1,55,63,5555,55
1,10067,2,1,2,1,55,69,5555,55
1,10067,3,1,3,1,55,68,5555,55
1,10067,4,1,4,1,55,64,5555,55
1,10067,5,1,5,1,6,42,9999,77
1,10068,1,1,1,1,55,68,5555,55
1,10068,2,1,2,1,55,64,5555,55
1,10068,3,1,3,1,11,42,9999,77
1,10068,4,1,4,1,11,42,9999,77
1,10069,1,1,1,1,55,63,5555,55
1,10069,2,1,2,1,1,53,9999,77
1,10069,3,1,3,1,14,32,9999,77
1,10069,4,1,4,1,99,42,9999,77
1,10070,1,1,1,1,55,63,5555,55
1,10070,2,1,2,1,12,32,9999,77
1,10070,3,1,3,1,0,1,9999,77
1,10071,1,1,1,1,55,68,5555,55
1,10071,2,1,2,1,12,12,2,12
1,10071,2,2,1,1,12,12,2,12
1,10072,1,1,1,1,55,63,5555,55
1,10072,2,1,2,1,12,42,9999,77
1,10072,3,1,3,1,12,42,9999,77
1,10072,4,1,4,1,0,1,9999,77
1,10073,1,1,1,1,12,12,2,12
1,10073,1,2,1,1,12,12,2,12
1,10074,1,1,1,1,12,12,2,6
1,10074,3,1,2,1,0,1,9999,77
1,10074,4,1,3,1,55,63,5555,55
1,10074,5,1,4,1,99,14,3,6
1,10074,1,2,1,1,12,12,2,6
1,10074,2,2,2,2,0,1,9999,77
1,10074,5,3,1,1,99,14,3,6
1,10075,1,1,1,1,55,63,5555,55
1,10075,2,1,2,1,0,1,9999,77
1,10076,1,1,1,1,55,68,5555,55
1,10076,2,1,2,1,0,1,9999,77
1,10077,1,1,1,2,12,12,1,3
1,10077,1,2,1,2,12,12,1,3
1,10078,1,1,1,1,12,8,9999,77
1,10079,1,1,1,1,55,63,5555,55
1,10079,2,1,2,1,1,25,9999,77
1,10079,3,1,3,1,55,69,5555,55
1,10079,4,1,4,1,0,1,9999,77
1,10079,5,1,5,1,55,64,5555,55
1,10079,6,1,6,1,98,25,9999,77
1,10080,1,1,1,1,55,68,5555,55
1,10080,2,1,2,1,55,64,5555,55
1,10080,3,1,3,1,12,32,9999,77
1,10080,4,1,4,1,55,69,5555,55
1,10080,5,1,5,1,0,1,9999,77
1,10081,1,1,1,1,55,68,5555,55
1,10081,2,1,2,1,55,64,5555,55
1,10081,3,1,3,1,11,35,9999,77
1,10081,4,1,4,1,0,1,9999,77
1,10082,1,1,1,2,1,12,1,11
1,10082,2,1,2,1,55,63,5555,55
1,10082,3,1,3,1,12,34,9999,77
1,10082,1,2,1,2,1,12,1,11
1,10082,4,2,2,2,55,68,5555,55
1,10082,5,2,3,2,11,12,3,11
1,10082,6,2,4,2,12,12,4,12
1,10082,5,3,1,2,11,12,3,11
1,10082,6,4,1,2,12,12,4,12
1,10083,1,1,1,1,12,12,2,6
1,10083,1,2,1,1,12,12,2,6
1,10083,2,2,2,2,55,68,5555,55
1,10083,3,2,3,2,12,12,3,12
1,10083,3,3,1,2,12,12,3,12
1,10084,1,1,1,1,12,12,2,6
1,10084,2,1,2,1,55,68,5555,55
1,10084,3,1,3,1,0,1,9999,77
1,10084,4,1,4,3,12,12,1,13
1,10084,1,2,1,1,12,12,2,6
1,10084,4,3,1,3,12,12,1,13
1,10085,1,1,1,1,55,68,5555,55
1,10085,2,1,2,1,55,64,5555,55
1,10085,3,1,3,1,55,67,5555,55
1,10085,4,1,4,1,99,58,9999,77
1,10086,1,1,1,2,12,12,1,9
1,10086,1,2,1,2,12,12,1,9
1,10087,1,1,1,2,12,12,1,9
1,10087,2,1,2,1,0,1,9999,77
1,10087,1,2,1,2,12,12,1,9
1,10088,1,1,1,1,55,68,5555,55
1,10088,2,1,2,1,12,12,2,12
1,10088,2,2,1,1,12,12,2,12
1,10089,1,1,1,2,12,12,1,2
1,10089,1,2,1,2,12,12,1,2
1,10090,1,1,1,1,55,63,5555,55
1,10090,2,1,2,1,55,69,5555,55
1,10090,3,1,3,1,0,1,9999,77
1,10091,1,1,1,1,12,8,9999,77
1,10092,1,1,1,1,55,61,5555,55
1,10092,2,1,2,1,55,64,5555,55
1,10092,3,1,3,1,0,1,9999,77
1,10093,1,1,1,1,55,63,5555,55
1,10093,2,1,2,1,55,69,5555,55
1,10093,3,1,3,1,55,68,5555,55
1,10093,4,1,4,1,55,64,5555,55
1,10093,5,1,5,1,4,42,9999,77
1,10093,6,1,6,1,0,1,9999,77
1,10094,1,1,1,1,55,64,5555,55
1,10094,2,1,2,1,55,69,5555,55
1,10094,3,1,3,1,55,63,5555,55
1,10094,4,1,4,1,0,1,9999,77
1,10095,1,1,1,1,12,12,2,6
1,10095,1,2,1,1,12,12,2,6
1,10095,2,2,2,2,55,68,5555,55
1,10095,3,2,3,2,12,12,3,11
1,10095,3,3,1,2,12,12,3,11
1,10096,1,1,1,1,12,9,9999,77
1,10097,1,1,1,1,55,63,5555,55
1,10097,2,1,2,1,12,8,9999,77
1,10098,1,1,1,1,12,12,2,12
1,10098,4,1,2,3,12,12,1,81
1,10098,5,1,3,1,55,67,5555,55
1,10098,6,1,4,1,0,1,9999,77
1,10098,1,2,1,1,12,12,2,12
1,10098,2,2,2,2,55,63,5555,55
1,10098,3,2,3,2,99,24,9999,77
1,10098,4,3,1,3,12,12,1,81
1,10099,1,1,1,1,12,11,9999,77
1,10099,2,1,2,1,55,68,5555,55
1,10099,3,1,3,1,55,64,5555,55
1,10099,4,1,4,1,99,42,9999,77
1,10100,1,1,1,2,12,12,1,2
1,10100,1,2,1,2,12,12,1,2
1,10101,1,1,1,1,12,8,9999,77
1,10102,1,1,1,1,55,63,5555,55
1,10102,2,1,2,1,12,35,9999,77
1,10102,3,1,3,1,0,1,9999,77
1,10103,1,1,1,1,55,64,5555,55
1,10103,2,1,2,1,12,25,9999,77
1,10103,3,1,3,1,55,69,5555,55
1,10103,4,1,4,1,12,12,2,12
1,10103,5,1,5,1,0,1,9999,77
1,10103,4,2,1,1,12,12,2,12
1,10103,6,2,2,2,82,12,3,11
1,10103,9,2,3,2,55,64,5555,55
1,10103,10,2,4,2,12,25,9999,77
1,10103,6,3,1,2,82,12,3,11
1,10103,7,3,2,3,55,63,5555,55
1,10103,8,3,3,3,5,25,9999,77
1,10104,1,1,1,1,55,68,5555,55
1,10104,2,1,2,1,12,12,2,12
1,10104,3,1,3,1,0,1,9999,77
1,10104,2,2,1,1,12,12,2,12
1,10105,1,1,1,2,12,12,1,10
1,10105,1,2,1,2,12,12,1,10
1,10106,1,1,1,1,55,63,5555,55
1,10106,2,1,2,1,6,42,9999,77
1,10106,3,1,3,1,0,1,9999,77
