STATE,ST_CASE,VEH_NO,PVE_Forms,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PVINTYPE,PVINMAKE,PVINA_MOD,PVIN_BT,PVINMODYR,PVIN_LNGT,PVIN_WGT,PWGTCD_TR,PWHLBS_LG,PWHLBS_SH,PSER_TR,PFUECODE,PMCYCL_DS,PCARBUR,PCYLINDER,PDISPLACE,PMCYCL_CY,PMCYCL_WT,PTIRE_SZE,PTON_RAT,PTRK_WT,PTRKWTVAR,PVIN_REST,PWHLDRWHL,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PIMPACT2,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS
4,40250,2,1,1,22,2,14,17,45,0,2,0,92,6,98,998,98998,93,2008,KHX11198,K,H,X,1,1,1,9,8,,,,,U,,,,8,8,,,,,,,,,,,,,,,,,,,0,88,888888888,88888888888,9,99,99,1,0,0,0,0,0,0,0,0,6,6,2,1,45,0,0,0,0
4,40355,2,1,1,19,7,99,99,14,0,2,0,17,6,82,881,82881,66,2002,1FUJBBCG62LG,1,F,U,J,B,B,C,G,6,2,L,G,T,FRHT,ST2,TR,2,17,,8,0,0,CON,D,,,6,774,,,,,00000,00,,64,1,57,241572,57241572,3,6,1,1,0,0,0,0,0,0,0,0,6,6,4,3,14,0,0,0,0
4,40371,2,1,0,23,7,10,7,14,0,2,0,4,6,63,402,63402,14,2004,KNDJD7338453,K,N,D,J,D,7,3,3,8,4,5,3,P,KIA,SOR,UT,4,17,4306,,0,1067,,G,,F,6,213,,,16R245,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,6,2,12,0,0,0,0
4,40484,2,1,0,20,9,1,4,8,0,2,0,4,6,20,2,20002,2,1963,31847L148461,3,1,8,4,7,L,1,4,8,4,6,1,P,CHEV,,,63,12,,,,,,,,,,,,,,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,98,6,2,14,0,0,0,0
4,40489,3,2,0,24,9,1,39,12,1,3,0,4,6,63,441,63441,20,2008,KNDMB233X862,K,N,D,M,B,2,3,3,X,8,6,2,T,KIA,SEL,ES,8,17,,1,0,1189,SED,G,,,6,232,,,,B,4387,00,7,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,6,2,14,0,0,0,0
4,40504,2,1,0,24,8,6,44,14,0,2,0,32,6,87,881,87881,63,1993,1XPCDB9X9PD3,1,X,P,C,D,B,9,X,9,P,D,3,T,PTRB,377,TR,93,17,,8,2750,1310,CON,D,,,6,893,,,,,00000,00,,64,5,57,1455314,571455314,3,2,12,1,0,0,0,0,0,0,0,0,63,62,4,3,14,0,0,0,0
4,40564,3,2,2,24,9,12,2,1,0,2,0,4,6,49,40,49040,4,2003,4T1BE32K13U7,4,T,1,B,E,3,2,K,1,3,U,7,P,TOYT,UXS,4D,3,17,2993,,0,1071,,G,,F,4,144,,,15R205,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,2,1,18,0,0,0,0
4,40574,4,3,0,28,9,14,30,12,1,2,0,19,6,84,881,84881,66,2011,3HSCUAPR4BN3,3,H,S,C,U,A,P,R,4,B,N,3,T,INTL,PPR,TR,11,17,,8,0,0,PRO,D,,,6,915,,,,,00000,00,,64,1,99,999999999,99999999999,3,6,98,1,0,0,0,0,0,0,0,0,12,12,6,4,14,0,0,1,0
4,40625,2,1,1,1,11,5,0,45,0,4,0,91,3,84,881,84881,63,2005,1HTMPAFNX5H1,1,H,T,M,P,A,F,N,X,5,H,1,T,INTL,420,CC,5,17,,7,0,0,40S,D,,,8,365,,,,,00000,00,,42,0,88,888888888,88888888888,3,1,97,1,0,0,0,0,0,0,0,0,6,6,6,2,12,0,0,0,0
4,40723,2,1,0,11,11,0,50,1,0,3,0,4,6,6,51,6051,4,1999,2C3HE66G7XH6,2,C,3,H,E,6,6,G,7,X,H,6,P,CHRY,30M,4D,99,17,3474,,0,1130,,G,,F,6,215,,,17R225,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,99,98,6,2,12,0,0,0,0
5,50033,2,1,0,28,1,22,29,8,0,2,0,5,6,2,403,2403,14,1990,2J4FY19E7LJ5,2,J,4,F,Y,1,9,E,7,L,J,5,T,JEEP,W/S,2W,90,17,,1,0,934,W/Y,G,,,4,150,,,,,2862,01,A,44,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,7,98,4,1,14,0,0,0,0
5,50229,2,1,0,13,6,1,33,8,0,3,0,92,6,84,881,84881,66,1993,1HTSDPNN3PH4,1,H,T,S,D,P,N,N,3,P,H,4,T,INTL,490,CC,93,17,,7,2540,1280,40S,D,,,6,466,,,,,00000,00,,42,1,77,777777777,77777777777,3,98,28,1,0,0,0,0,0,0,0,0,7,7,4,3,12,0,0,0,0
