ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
450712,7,7,7,7,7,7,7,7,7,7
450713,0,0,0,0,0,0,0,0,0,0
450714,0,0,0,0,0,14,0,0,0,0
450715,17,17,17,17,17,17,17,17,17,17
450716,0,0,0,0,0,0,0,0,0,0
450717,0,0,18,0,0,0,0,0,0,0
450718,19,19,19,19,19,19,19,19,19,19
450719,21,21,21,21,21,21,21,21,21,21
450720,35,35,35,35,35,35,35,35,35,35
450721,0,0,0,0,0,0,0,0,0,0
450722,22,22,22,23,22,22,22,22,22,22
450723,0,0,0,0,0,0,0,0,0,0
450724,21,12,2,2,2,26,2,2,2,14
450725,10,0,18,20,0,0,30,0,0,0
450726,0,0,0,0,0,0,24,0,0,0
450727,0,0,0,0,0,0,0,0,0,0
450728,0,0,0,0,0,12,0,0,0,20
450729,0,0,0,0,0,0,0,0,0,0
450730,0,0,0,0,0,0,0,0,0,0
450731,4,4,4,4,4,13,4,4,6,11
450732,10,10,10,10,10,10,10,10,10,10
450733,17,17,17,17,17,17,17,17,17,17
450734,0,0,0,0,0,0,6,0,0,0
450735,0,0,0,0,0,0,0,0,0,0
450736,29,22,15,0,25,14,0,0,19,0
450737,0,16,0,29,0,13,0,23,0,0
450738,0,0,0,0,0,0,0,0,0,0
450739,23,23,23,23,23,23,23,23,23,23
450740,18,18,18,18,18,18,18,18,18,18
450741,0,0,0,0,0,0,0,0,0,0
450742,0,0,0,0,0,0,0,0,0,0
450743,0,0,0,0,0,0,0,0,0,0
450744,0,0,0,0,0,0,0,0,0,0
450745,0,0,0,3,0,11,0,0,0,15
450746,30,30,30,30,30,30,30,30,30,30
450747,0,0,0,0,0,0,22,0,0,0
450748,8,8,8,8,8,8,8,8,8,8
450749,0,0,0,0,0,0,0,0,0,0
450750,0,9,17,0,0,0,0,0,0,0
450751,25,25,25,25,25,25,25,25,25,25
450752,0,0,0,0,0,0,0,0,0,0
450753,0,0,0,0,0,0,0,0,0,0
450754,0,0,0,0,5,0,0,0,0,0
450755,0,0,0,0,38,0,0,0,0,0
450756,4,4,4,4,4,4,4,4,4,4
450757,3,3,3,3,3,3,3,3,3,3
450758,0,0,0,0,0,12,0,0,0,0
450759,0,0,0,0,0,0,0,0,0,0
450760,0,0,0,0,0,0,0,0,0,0
450761,23,0,0,0,0,0,0,15,0,0
450762,0,0,0,0,0,0,0,0,0,0
450763,0,0,0,0,0,0,0,0,0,0
450764,0,0,0,0,0,0,0,0,0,0
450765,0,0,0,0,0,0,0,0,0,0
450766,0,0,0,0,0,0,0,0,0,0
450767,23,23,23,23,23,23,23,23,23,23
450768,20,20,20,20,20,20,20,20,20,20
450769,0,0,0,0,0,0,0,0,0,16
450770,21,15,15,26,24,11,20,36,17,17
450771,0,0,0,20,0,0,0,0,0,0
450772,0,0,0,0,0,7,0,0,0,0
450773,0,0,0,0,0,0,0,0,0,0
450774,0,0,18,0,3,0,6,0,0,0
450775,34,34,34,34,34,34,34,34,34,34
450776,0,0,10,0,0,0,0,4,0,0
450777,18,18,18,18,18,18,18,18,18,18
450778,0,0,0,0,0,0,0,0,0,0
450779,34,34,34,34,34,34,34,34,34,34
450780,18,18,18,18,18,18,18,18,18,18
450781,17,6,0,0,0,0,0,0,0,0
