STATE,ST_CASE,EVENTNUM,VEH_NO,VEVENTNUM,VNUMBER1,AOI1,SOE,VNUMBER2,AOI2
1,10056,5,1,5,1,0,1,9999,77
1,10057,1,1,1,1,55,63,5555,55
1,10057,2,1,2,1,12,35,9999,77
1,10058,1,1,1,1,55,68,5555,55
1,10058,2,1,2,1,8,12,2,11
1,10058,3,1,3,1,55,64,5555,55
1,10058,4,1,4,1,98,43,9999,77
1,10058,5,1,5,1,4,43,9999,77
1,10058,6,1,6,1,0,1,9999,77
1,10058,7,1,7,1,13,42,9999,77
1,10058,2,2,1,1,8,12,2,11
1,10059,1,1,1,1,55,68,5555,55
1,10059,2,1,2,1,55,64,5555,55
1,10059,3,1,3,1,12,42,9999,77
1,10059,4,1,4,1,12,42,9999,77
1,10060,1,1,1,1,12,8,9999,77
1,10061,1,1,1,1,55,63,5555,55
1,10061,2,1,2,1,55,69,5555,55
1,10061,3,1,3,1,55,68,5555,55
1,10061,4,1,4,1,12,12,2,12
1,10061,4,2,1,1,12,12,2,12
1,10062,1,1,1,1,12,12,2,3
1,10062,1,2,1,1,12,12,2,3
1,10063,1,1,1,1,55,68,5555,55
1,10063,2,1,2,1,55,64,5555,55
1,10063,3,1,3,1,12,33,9999,77
1,10063,4,1,4,1,12,40,9999,77
1,10063,5,1,5,1,12,42,9999,77
1,10064,1,1,1,1,55,64,5555,55
1,10064,2,1,2,1,10,18,9999,77
1,10064,3,1,3,1,11,53,9999,77
1,10064,4,1,4,1,55,69,5555,55
1,10064,5,1,5,1,55,64,5555,55
1,10064,6,1,6,1,4,43,9999,77
1,10064,7,1,7,1,2,42,9999,77
1,10064,8,1,8,1,0,1,9999,77
1,10065,1,1,1,2,12,12,1,9
1,10065,1,2,1,2,12,12,1,9
1,10066,1,1,1,1,55,63,5555,55
1,10066,2,1,2,1,55,69,5555,55
1,10066,3,1,3,1,55,68,5555,55
1,10066,4,1,4,1,55,64,5555,55
1,10066,5,1,5,1,3,42,9999,77
1,10066,6,1,6,1,98,42,9999,77
1,10066,7,1,7,1,98,42,9999,77
1,10067,1,1,1,1,55,63,5555,55
1,10067,2,1,2,1,55,69,5555,55
1,10067,3,1,3,1,55,68,5555,55
1,10067,4,1,4,2,12,12,1,3
1,10067,4,2,1,2,12,12,1,3
1,10068,1,1,1,1,55,63,5555,55
1,10068,2,1,2,1,12,59,9999,77
1,10068,3,1,3,1,55,69,5555,55
1,10068,4,1,4,1,55,68,5555,55
1,10068,5,1,5,1,55,64,5555,55
1,10068,6,1,6,1,12,42,9999,77
1,10069,1,1,1,1,55,63,5555,55
1,10069,2,1,2,1,12,46,9999,77
1,10070,1,1,1,1,55,68,5555,55
1,10070,2,1,2,1,55,64,5555,55
1,10070,3,1,3,1,11,34,9999,77
1,10070,4,1,4,1,55,69,5555,55
1,10070,5,1,5,1,0,1,9999,77
1,10071,1,1,1,1,12,8,9999,77
1,10071,2,1,2,1,12,8,9999,77
1,10072,1,1,1,2,12,12,1,3
1,10072,1,2,1,2,12,12,1,3
1,10073,1,1,1,1,55,63,5555,55
1,10073,2,1,2,1,12,43,9999,77
1,10073,3,1,3,1,55,67,5555,55
1,10073,4,1,4,1,12,42,9999,77
1,10074,1,1,1,1,12,12,2,12
1,10074,1,2,1,1,12,12,2,12
1,10075,1,1,1,1,55,63,5555,55
1,10075,2,1,2,1,12,14,2,6
1,10075,2,2,1,1,12,14,2,6
1,10076,1,1,1,1,55,63,5555,55
1,10076,2,1,2,1,2,33,9999,77
1,10076,3,1,3,1,81,38,9999,77
1,10076,4,1,4,1,55,69,5555,55
1,10076,5,1,5,1,55,63,5555,55
1,10076,6,1,6,1,14,33,9999,77
1,10076,7,1,7,1,9,42,9999,77
1,10077,1,1,1,1,55,63,5555,55
1,10077,2,1,2,1,12,35,9999,77
1,10077,3,1,3,1,0,1,9999,77
1,10078,1,1,1,1,55,63,5555,55
1,10078,2,1,2,1,12,17,9999,77
1,10079,1,1,1,1,55,68,5555,55
1,10079,2,1,2,1,55,64,5555,55
1,10079,3,1,3,1,12,42,9999,77
1,10079,4,1,4,1,0,1,9999,77
1,10080,1,1,1,1,55,63,5555,55
1,10080,2,1,2,1,12,24,9999,77
1,10080,3,1,3,1,55,69,5555,55
1,10080,4,1,4,1,0,1,9999,77
1,10081,1,1,1,2,12,12,1,3
1,10081,1,2,1,2,12,12,1,3
1,10082,1,1,1,2,12,12,1,3
1,10082,1,2,1,2,12,12,1,3
1,10083,1,1,1,1,55,68,5555,55
1,10083,2,1,2,1,55,64,5555,55
1,10083,3,1,3,1,12,42,9999,77
1,10084,1,1,1,1,55,63,5555,55
1,10084,2,1,2,1,14,34,9999,77
1,10084,3,1,3,1,12,35,9999,77
1,10084,4,1,4,1,0,1,9999,77
1,10085,1,1,1,1,55,63,5555,55
1,10085,2,1,2,1,55,69,5555,55
1,10085,3,1,3,1,55,68,5555,55
1,10085,4,1,4,1,55,64,5555,55
1,10085,5,1,5,1,2,42,9999,77
1,10086,1,1,1,1,55,68,5555,55
1,10086,2,1,2,1,12,12,2,12
1,10086,2,2,1,1,12,12,2,12
1,10086,3,2,2,2,55,63,5555,55
1,10086,4,2,3,2,11,30,9999,77
1,10087,1,1,1,1,55,63,5555,55
1,10087,2,1,2,1,0,1,9999,77
1,10088,1,1,1,1,55,71,9999,77
1,10088,2,1,2,1,55,67,5555,55
1,10088,3,1,3,1,12,34,9999,77
1,10088,4,1,4,1,0,1,9999,77
1,10089,1,1,1,1,55,63,5555,55
1,10089,2,1,2,1,12,34,9999,77
1,10089,3,1,3,1,12,42,9999,77
1,10089,4,1,4,1,0,1,9999,77
1,10090,1,1,1,1,55,68,5555,55
1,10090,2,1,2,1,55,64,5555,55
1,10090,3,1,3,1,55,69,5555,55
1,10090,4,1,4,1,55,68,5555,55
1,10090,5,1,5,1,55,68,5555,55
1,10090,6,1,6,1,55,64,5555,55
1,10090,7,1,7,1,12,38,9999,77
1,10090,8,1,8,1,12,42,9999,77
1,10091,1,1,1,1,55,68,5555,55
1,10091,2,1,2,1,55,64,5555,55
1,10091,3,1,3,1,12,42,9999,77
1,10092,1,1,1,1,55,68,5555,55
1,10092,2,1,2,1,12,12,2,12
1,10092,2,2,1,1,12,12,2,12
1,10093,1,1,1,1,55,63,5555,55
1,10093,2,1,2,1,55,69,5555,55
1,10093,3,1,3,1,55,64,5555,55
1,10093,4,1,4,1,12,42,9999,77
1,10094,1,1,1,1,55,63,5555,55
1,10094,2,1,2,1,55,69,5555,55
1,10094,3,1,3,1,55,68,5555,55
1,10094,4,1,4,1,55,64,5555,55
1,10094,5,1,5,1,12,34,9999,77
1,10094,6,1,6,1,9,30,9999,77
1,10095,1,1,1,1,55,68,5555,55
1,10095,2,1,2,1,55,64,5555,55
1,10095,3,1,3,1,12,42,9999,77
1,10096,1,1,1,1,55,63,5555,55
1,10096,2,1,2,1,12,40,9999,77
1,10096,3,1,3,1,0,1,9999,77
1,10097,1,1,1,1,55,63,5555,55
1,10097,2,1,2,1,9,42,9999,77
1,10098,1,1,1,1,55,63,5555,55
