STATE,ST_CASE,VEH_NO,PER_NO,NMIMPAIR
6,60686,0,1,0
6,60688,0,1,99
6,60690,0,1,9
6,60691,0,1,8
6,60691,0,1,9
6,60716,0,1,99
6,60717,0,1,99
6,60723,0,1,0
6,60723,0,2,0
6,60723,0,3,0
6,60727,0,1,99
6,60729,0,1,99
6,60730,0,1,0
6,60731,0,1,0
6,60735,0,1,99
6,60736,0,1,99
6,60738,0,1,0
6,60741,0,1,0
6,60750,0,1,9
6,60764,0,1,99
6,60767,0,1,0
6,60771,0,1,99
6,60771,0,2,0
6,60779,0,1,99
6,60782,0,1,99
6,60783,0,1,99
6,60786,0,1,99
6,60790,0,1,99
6,60791,0,1,99
6,60794,0,1,99
6,60797,0,1,3
6,60807,0,1,0
6,60814,0,1,0
6,60815,0,1,0
6,60820,0,1,99
6,60821,0,1,9
6,60826,0,1,0
6,60831,0,1,0
6,60834,0,1,99
6,60846,0,1,0
6,60850,0,1,0
6,60855,0,1,0
6,60870,0,1,0
6,60873,0,1,99
6,60888,0,1,99
6,60905,0,1,0
6,60914,0,1,0
6,60914,0,2,0
6,60916,0,1,0
6,60917,0,1,98
6,60919,0,1,99
6,60921,0,1,0
6,60930,0,1,0
6,60932,0,1,0
6,60932,0,2,0
6,60934,0,1,99
6,60942,0,1,99
6,60942,0,2,0
6,60942,0,3,0
6,60945,0,1,9
6,60946,0,1,99
6,60947,0,1,99
6,60948,0,1,99
6,60951,0,1,99
6,60959,0,1,0
6,60961,0,1,0
6,60965,0,1,99
6,60969,0,1,0
6,60970,0,1,9
6,60971,0,1,9
6,60973,0,1,99
6,60976,0,1,9
6,60983,0,1,0
6,60984,0,1,99
6,60985,0,1,10
6,60986,0,1,99
6,60987,0,1,99
6,60991,0,1,9
6,60994,0,1,99
6,60995,0,1,0
6,61001,0,1,99
6,61001,0,2,99
6,61003,0,1,99
6,61005,0,1,0
6,61006,0,1,99
6,61008,0,1,0
6,61014,0,1,99
6,61015,0,1,99
6,61027,0,1,99
6,61033,0,1,0
6,61035,0,1,0
6,61036,0,1,9
6,61037,0,1,99
6,61038,0,1,0
6,61043,0,1,0
6,61047,0,1,99
6,61048,0,1,0
6,61053,0,1,99
6,61054,0,1,99
6,61055,0,1,99
6,61057,0,1,0
6,61059,0,1,99
6,61062,0,1,9
6,61065,0,1,9
6,61073,0,1,99
6,61075,0,1,99
6,61084,0,1,99
6,61085,0,1,0
6,61090,0,1,99
6,61093,0,1,0
6,61094,0,1,99
6,61095,0,1,0
6,61098,0,1,99
6,61100,0,1,99
6,61101,0,1,0
6,61104,0,1,99
6,61105,0,1,0
6,61112,0,1,99
6,61113,0,1,98
6,61115,0,1,99
6,61118,0,1,99
6,61120,0,1,9
6,61121,0,1,99
6,61130,0,1,98
6,61130,0,2,98
6,61130,0,3,98
6,61130,0,4,98
6,61133,0,1,99
6,61136,0,1,0
6,61143,0,1,0
6,61149,0,1,0
6,61156,0,1,99
6,61157,0,1,99
6,61158,0,1,0
6,61159,0,1,0
6,61160,0,1,9
6,61161,0,1,9
6,61165,0,1,0
6,61166,0,1,99
6,61176,0,1,9
6,61182,0,1,9
6,61184,0,1,99
6,61190,0,1,99
6,61193,0,1,0
6,61195,0,1,99
6,61201,0,1,0
6,61201,0,2,7
6,61206,0,1,99
6,61207,0,1,99
6,61208,0,1,0
6,61209,0,1,99
6,61213,0,1,0
6,61213,0,2,0
6,61213,0,3,0
6,61215,0,1,99
6,61219,0,1,99
6,61222,0,1,0
6,61223,0,1,99
6,61225,0,1,99
6,61226,0,1,99
6,61234,0,1,99
6,61236,0,1,99
6,61237,0,1,99
6,61238,0,1,99
6,61239,0,1,99
6,61240,0,1,99
6,61243,0,1,99
6,61244,0,1,99
6,61262,0,1,0
6,61263,0,1,0
6,61264,0,1,99
6,61268,0,1,0
6,61271,0,1,99
6,61276,0,1,99
6,61280,0,1,9
6,61281,0,1,99
6,61282,0,1,9
6,61285,0,1,0
6,61286,0,1,99
6,61287,0,1,99
6,61289,0,1,0
6,61293,0,1,9
6,61298,0,1,9
6,61302,0,1,3
6,61306,0,1,99
6,61311,0,1,99
6,61321,0,1,9
6,61322,0,1,0
6,61325,0,1,99
6,61328,0,1,99
6,61332,0,1,0
6,61333,0,1,99
6,61334,0,1,99
6,61337,0,1,99
6,61342,0,1,0
6,61357,0,1,99
6,61360,0,1,0
6,61361,0,1,9
6,61363,0,1,99
6,61364,0,1,99
6,61365,0,1,99
6,61368,0,1,99
6,61374,0,1,0
6,61377,0,1,99
6,61378,0,1,9
6,61380,0,1,0
6,61383,0,1,99
6,61384,0,1,99
6,61392,0,1,0
6,61392,0,2,0
6,61396,0,1,9
6,61397,0,1,99
6,61407,0,1,0
6,61413,0,1,99
6,61415,0,1,99
6,61417,0,1,9
6,61419,0,1,99
6,61420,0,1,99
6,61423,0,1,99
6,61424,0,1,99
6,61439,0,1,9
6,61439,0,2,9
6,61440,0,1,99
6,61455,0,1,99
6,61457,0,1,9
6,61460,0,1,99
6,61470,0,1,0
6,61471,0,1,99
6,61472,0,1,98
6,61477,0,1,0
6,61480,0,1,9
6,61489,0,1,99
6,61491,0,1,9
6,61512,0,1,99
6,61515,0,1,0
6,61518,0,1,0
6,61520,0,1,99
6,61520,0,2,99
6,61522,0,1,0
6,61527,0,1,99
6,61529,0,1,0
6,61535,0,1,9
6,61541,0,1,9
6,61542,0,1,99
6,61546,0,1,99
6,61547,0,1,99
6,61552,0,1,99
6,61552,0,2,99
6,61558,0,1,9
6,61561,0,1,99
6,61563,0,1,99
6,61566,0,1,99
6,61570,0,1,99
6,61570,0,2,99
6,61571,0,1,0
6,61572,0,1,99
6,61576,0,1,0
6,61576,0,2,0
6,61577,0,1,9
6,61580,0,1,99
6,61589,0,1,99
6,61591,0,1,99
6,61594,0,1,99
6,61602,0,1,99
6,61603,0,1,0
6,61604,0,1,9
6,61605,0,1,9
6,61606,0,1,0
6,61612,0,1,0
6,61613,0,1,99
6,61614,0,1,99
6,61614,0,2,99
6,61614,0,3,99
6,61614,0,4,99
6,61614,0,5,99
6,61616,0,1,0
6,61616,0,2,0
6,61618,0,1,99
6,61619,0,1,6
