ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
480784,11,11,11,11,11,11,11,11,11,11
480786,0,0,0,0,0,0,0,0,0,0
480787,0,0,0,5,0,0,0,0,0,0
480788,0,0,0,0,0,0,0,0,17,0
480789,0,0,0,0,0,0,0,0,0,0
480790,0,0,19,0,15,0,5,0,0,0
480792,0,0,4,0,0,0,0,0,0,0
480793,0,0,0,0,0,0,0,0,0,0
480794,0,0,0,0,0,11,0,7,0,0
480795,0,0,0,10,22,0,13,13,16,15
480796,0,0,0,0,0,0,0,0,0,0
480797,0,15,0,0,0,19,0,0,0,0
480798,0,0,0,0,0,0,0,0,0,0
480799,26,26,26,26,26,26,26,26,26,26
480800,0,0,4,0,0,9,0,0,1,0
480801,11,11,11,11,11,11,11,11,11,11
480802,15,15,15,15,15,15,15,15,15,15
480803,3,0,0,12,0,0,0,0,0,19
480804,40,40,40,40,40,40,40,40,40,40
480805,0,0,0,0,0,0,0,0,0,0
480806,0,0,0,0,0,0,0,0,0,0
480807,0,0,0,0,0,0,0,0,0,0
480808,0,0,0,0,0,0,0,0,0,0
480809,0,2,0,0,0,0,0,0,0,0
480810,15,15,15,15,15,15,15,15,15,15
480811,23,0,0,0,0,0,0,18,0,0
480812,17,0,0,0,0,25,18,0,28,18
480813,4,0,0,16,0,0,3,15,0,7
480814,11,18,11,22,21,14,27,25,9,18
480815,19,25,0,0,0,0,0,0,0,0
480816,0,13,0,0,6,9,0,3,0,0
480817,0,0,0,0,0,0,0,0,0,16
480818,9,0,0,0,0,0,8,0,7,14
480819,8,8,8,8,8,8,8,8,8,8
480820,25,25,25,25,25,25,25,25,25,25
480821,0,0,29,5,0,0,12,0,0,14
480822,34,12,0,0,0,0,30,0,0,20
480823,0,0,0,0,0,0,0,0,0,0
480824,0,0,0,0,0,0,0,0,0,0
480825,0,0,0,0,0,0,0,0,0,0
480826,20,20,20,20,20,20,20,20,20,20
480827,0,0,0,0,0,0,0,0,0,0
480828,0,0,0,0,0,0,0,0,0,0
480829,7,7,7,7,7,7,7,7,7,7
480830,0,0,0,0,0,0,0,0,0,0
480831,19,19,19,19,19,19,19,19,19,19
480832,16,16,16,16,16,16,16,16,16,16
480833,0,0,0,0,0,0,0,0,0,0
480834,0,0,0,0,0,0,0,0,0,0
480835,0,0,0,0,0,30,0,0,11,45
480836,12,12,12,12,12,12,12,12,12,12
480837,24,24,24,24,24,24,24,24,24,24
480838,0,20,0,0,0,14,0,14,14,24
480839,5,0,0,0,0,0,12,0,0,0
480840,0,0,0,0,0,0,0,0,0,0
480841,0,0,0,0,0,15,0,0,0,0
480842,3,3,3,3,3,3,3,3,3,3
480843,19,19,19,19,19,19,19,19,19,19
480844,0,17,0,0,20,0,0,0,0,0
480845,14,14,14,14,14,14,14,14,14,14
480846,0,0,0,0,0,0,0,0,0,0
480847,0,0,0,0,0,0,0,0,0,0
480848,0,0,0,0,0,0,0,0,0,0
480849,0,10,0,0,0,26,0,12,33,0
480850,26,26,26,26,26,26,26,26,26,26
