ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,MONTH,DAY_WEEK,YEAR,HOUR,ROUTE,LATITUDE,LONGITUD,HARM_EV,MAN_COLL,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER,SCH_BUS,FATALS,DRUNK_DR,AGE,SEX_1,SEX_2,SEX_8,SEX_9,REST_MIS,DRUGS,BT_Sedan,BT_Pickup,BT_SUV_Van,BT_Motorcyle,BT_Truck,BT_Bus,BT_Unknown_Other,BT_Motorcycle,OOS_REG,TRAV_SP,DR_DRINK,PREV_ACC,PREV_DWI,PREV_SPD,SPEED_REL,VSPD_LIM,ACC_TYPE_A,ACC_TYPE_B,ACC_TYPE_C,ACC_TYPE_D,ACC_TYPE_E,ACC_TYPE_F,ACC_TYPE_G,ACC_TYPE_H,ACC_TYPE_I,ACC_TYPE_J,ACC_TYPE_K,ACC_TYPE_L,ACC_TYPE_M,MDRDSTRD,MVIOLATN,ROAD_FNC
410042,1,1,1,33,2,3,2015,20,3,42.42476944,-123.2799917,8,0,1,1,1,0,2,98,0,1,0,52,1,1,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0,4
410043,1,0,1,67,2,3,2015,19,4,45.45085833,-122.9464972,1,0,1,1,4,0,2,1,0,1,0,67,1,0,0,0,0,9,0,0,0,0,0,0,0,1.0,0,999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0,4
410044,1,1,1,7,2,4,2015,18,2,46.00975,-123.9131944,8,0,1,1,1,0,2,2,0,1,0,53,2,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
410045,2,0,2,51,2,4,2015,16,6,45.57351111,-122.6297889,12,6,1,1,1,0,1,2,0,1,1,40,2,0,0,0,0,9,2,0,0,0,0,0,0,0.0,0,999,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,3
410046,1,0,1,35,2,4,2015,13,6,42.58188611,-121.8594278,42,0,3,3,4,0,1,1,0,1,0,40,1,0,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,0,0,0,0,9,99,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0,5
410047,3,0,5,39,2,5,2015,18,3,43.96291389,-122.9216528,54,11,1,1,1,0,2,2,0,1,1,37,4,1,0,0,0,9,0,2,0,0,1,0,0,0.0,1,999,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0,3
410048,2,0,2,67,2,6,2015,13,1,45.33756667,-122.7695417,1,0,1,1,1,0,1,10,0,1,1,32,2,0,0,0,0,9,1,0,0,0,0,0,0,1.0,0,999,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
410049,1,1,4,67,3,1,2015,1,3,45.49743333,-122.9017611,8,0,1,1,1,0,6,98,0,1,1,30,2,3,0,0,0,9,1,0,0,0,0,0,0,0.0,1,999,1,1,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,11,3
410050,1,0,3,33,3,1,2015,22,6,42.45343611,-123.3176222,42,0,1,1,4,0,2,1,0,1,0,18,1,2,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,1,7
410051,2,1,4,19,3,7,2015,23,3,43.21328056,-123.3037278,8,0,1,1,1,0,2,1,0,1,0,35,3,2,0,0,0,9,0,2,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3
410052,1,0,1,13,3,7,2015,16,4,44.069425,-119.7979167,17,0,1,1,4,0,1,1,0,1,1,69,1,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,1,0,0,0,9,99,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0,5
410053,5,0,12,51,3,7,2015,15,1,45.59220556,-122.682725,12,1,1,1,1,0,1,1,0,1,0,20,5,7,0,0,0,9,4,0,1,0,0,0,0,0.0,1,999,0,2,1,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
410054,1,1,1,51,3,4,2015,10,6,45.52388056,-122.6702778,15,0,3,3,1,0,1,2,0,1,0,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,999,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45,4
410055,1,1,1,33,1,3,2015,19,4,42.69519722,-123.3953139,8,0,1,1,1,0,3,5,0,1,0,44,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0,999,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,79,5
410056,2,0,2,47,1,7,2015,22,4,45.03521389,-123.0005,12,6,2,2,1,0,2,1,0,1,1,20,2,0,0,0,0,1,1,0,0,0,0,0,0,1.0,0,35,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,4
410057,1,0,1,19,2,6,2015,15,1,42.74885556,-123.365275,1,0,1,1,3,0,1,10,0,1,0,51,1,0,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0,1
410058,2,0,3,71,3,5,2015,10,3,45.23598889,-123.073275,12,6,1,1,1,0,1,10,0,1,0,35,2,1,0,0,0,9,0,0,1,0,1,0,0,0.0,0,999,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,99,0,3
410059,3,0,3,67,3,5,2015,11,6,45.44763611,-122.826025,12,1,3,2,1,0,1,1,0,1,0,46,2,1,0,0,0,1,2,1,0,0,0,0,0,0.0,1,999,0,1,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
410060,1,1,1,19,3,5,2015,23,3,43.11133889,-123.5157333,8,0,3,2,1,0,2,1,0,1,0,38,2,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
410061,1,0,1,5,3,7,2015,19,4,45.15818056,-122.5316528,42,0,1,1,4,0,2,2,0,1,1,58,1,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,1,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0,5
410062,1,0,3,39,3,1,2015,21,4,43.94052222,-122.8230389,42,0,1,1,4,0,2,2,0,2,1,27,3,0,0,0,0,9,1,0,0,0,0,0,0,0.0,1,999,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0,5
410063,1,1,1,39,3,3,2015,20,1,43.81113333,-123.039925,8,0,1,1,2,0,2,10,0,1,0,999,1,0,0,1,0,9,0,0,0,0,0,0,1,0.0,99,999,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0,1
410064,1,0,1,39,3,4,2015,17,3,43.89061944,-122.7327194,24,0,1,1,4,0,1,1,0,1,1,57,1,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0,3
410065,1,1,1,35,1,6,2015,19,6,42.19764722,-121.7571361,8,0,1,1,1,0,3,10,0,1,0,37,2,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,4
410066,2,0,6,5,1,1,2015,15,3,45.446525,-122.6322972,12,6,2,2,1,0,1,1,0,1,0,24,4,2,0,0,0,9,0,0,1,0,0,0,0,1.0,0,999,0,0,0,2,9,99,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,2
410067,1,1,1,5,1,2,2015,17,3,45.42752778,-122.634225,8,0,1,1,1,0,3,5,0,1,0,69,2,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0,3
410068,1,0,1,47,3,5,2015,21,6,44.90175278,-123.0146222,33,0,1,1,4,0,3,1,0,1,1,26,1,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,999,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0,4
410069,1,0,5,61,3,5,2015,19,1,45.09583056,-117.9530944,1,0,1,1,3,0,1,1,0,1,0,31,5,0,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,0,0,0,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0,1
410070,2,0,3,33,3,7,2015,12,4,42.43733056,-123.2911,12,6,2,3,1,0,1,1,0,1,0,47,2,1,0,0,0,9,1,0,0,0,0,0,0,1.0,1,999,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,99,0,5
410071,1,0,2,19,3,3,2015,12,7,43.29028611,-123.3566806,24,0,3,3,4,0,1,1,0,1,0,23,0,2,0,0,0,1,1,0,0,0,0,0,0,0.0,0,999,0,2,0,0,1,99,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0,1
410072,2,0,3,17,3,4,2015,23,2,43.85325,-121.4147528,12,1,1,1,1,0,2,1,0,1,0,57,3,0,0,0,0,9,0,1,1,0,0,0,0,0.0,1,999,0,1,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,99,0,3
410073,2,0,4,39,3,7,2015,10,3,43.70971111,-122.2951889,12,2,1,1,1,0,1,10,0,1,0,55,2,2,0,0,0,1,2,0,0,0,0,0,0,0.0,1,999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0,3
410074,1,0,1,29,3,1,2015,12,3,42.38680833,-122.3841361,24,0,1,1,4,0,1,1,0,1,0,57,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,999,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0,3
410075,2,0,2,71,3,3,2015,11,6,45.21073056,-123.1943417,14,0,3,2,1,0,1,1,0,1,0,37,2,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0,5
410076,1,0,1,57,4,4,2015,6,2,45.07243889,-123.9482139,24,0,1,1,4,0,2,2,0,1,0,57,1,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0,3
410077,2,0,6,29,4,5,2015,12,4,42.53533056,-122.8021972,12,2,1,1,1,0,1,1,0,2,0,19,3,3,0,0,1,9,0,0,1,0,1,0,0,0.0,0,999,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0,5
410078,2,0,3,43,4,6,2015,14,3,44.55586111,-123.0998667,12,6,1,1,1,0,1,2,0,2,0,31,2,1,0,0,0,9,2,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,99,0,3
410079,1,1,1,43,4,7,2015,0,7,44.65921667,-123.0596528,8,0,1,1,1,0,2,5,0,1,0,38,1,1,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,0,1,0,0,9,99,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0,5
410080,1,1,1,67,4,1,2015,23,6,45.50048333,-122.8030889,8,0,1,1,1,0,2,10,0,1,0,53,0,2,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
410081,2,0,3,41,4,2,2015,0,2,44.61941667,-123.7019417,12,2,1,1,1,0,3,10,0,1,1,22,3,0,0,0,1,9,1,0,1,0,0,0,0,0.0,0,999,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0,3
410082,1,1,1,29,4,3,2015,10,8,42.36530556,-122.8586806,8,0,1,1,5,0,1,2,0,1,0,64,1,1,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0,96
410083,2,0,2,43,4,5,2015,19,4,44.526625,-122.9453861,12,2,1,1,1,0,1,1,0,1,0,28,0,2,0,0,0,9,2,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0,4
410084,1,0,1,19,4,7,2015,14,3,43.6616,-123.3469472,42,0,1,1,4,0,1,98,0,1,0,18,0,1,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0,3
410085,1,0,3,59,4,7,2015,20,4,45.82380556,-119.3491944,38,0,1,1,5,0,2,1,0,1,1,30,2,1,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,1,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0,5
410086,1,0,4,19,4,1,2015,12,3,43.32054167,-122.693925,42,0,1,1,4,0,1,98,0,2,0,20,3,1,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,1,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0,4
