ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,MONTH,DAY_WEEK,YEAR,HOUR,ROAD_FNC,ROUTE,LATITUDE,LONGITUD,HARM_EV,MAN_COLL,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER,SCH_BUS,FATALS,DRUNK_DR,AGE,SEX_1,SEX_2,SEX_8,SEX_9,REST_MIS,DRUGS,BT_Sedan,BT_Pickup,BT_SUV_Van,BT_Motorcyle,BT_Truck,BT_Bus,BT_Unknown_Other,BT_Motorcycle,OOS_REG,TRAV_SP,DR_DRINK,PREV_ACC,PREV_DWI,PREV_SPD,SPEED_REL,VSPD_LIM,ACC_TYPE_A,ACC_TYPE_B,ACC_TYPE_C,ACC_TYPE_D,ACC_TYPE_E,ACC_TYPE_F,ACC_TYPE_G,ACC_TYPE_H,ACC_TYPE_I,ACC_TYPE_J,ACC_TYPE_K,ACC_TYPE_L,ACC_TYPE_M,MDRDSTRD,MVIOLATN
410308,1,0,1,35,9,2,2011,99,6,4,42.01688333,-121.3986,3,0,3,3,5,0,9,99,0,1,1,22,1,0,0,0,0,9,0,0,0,0,0,0,0,1.0,0,999,1,0,0,0,9,99,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410309,1,1,1,17,12,2,2011,20,14,6,44.05936111,-121.26376111,8,0,1,1,1,0,2,10,0,1,0,48,1,1,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
410310,1,0,1,9,12,3,2011,20,5,4,45.87721389,-122.89091944,42,0,1,1,4,0,2,2,0,1,0,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,999,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410311,1,1,1,39,8,3,2011,23,5,4,44.07042778,-123.23244444,8,0,1,1,1,0,2,1,0,1,0,999,1,0,0,1,0,9,0,0,0,0,0,0,1,0.0,99,999,0,0,0,0,9,99,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410312,2,0,2,39,11,3,2011,18,3,3,44.06866667,-123.35463611,12,2,2,3,1,0,3,10,0,1,0,52,2,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,99,0
410313,1,0,1,51,12,5,2011,19,13,6,45.53470556,-122.48622222,30,0,8,1,4,0,3,98,0,1,0,77,1,0,0,0,0,9,0,0,0,0,0,0,1,0.0,99,999,0,0,0,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410314,1,0,2,39,9,2,2011,14,13,6,44.08588611,-123.10330556,6,0,2,3,1,0,1,98,0,1,0,66,0,2,0,0,0,9,0,0,0,0,0,1,0,0.0,0,999,0,0,0,0,0,99,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410315,1,1,1,47,10,3,2011,19,13,3,45.14915278,-122.83310278,8,0,1,1,1,0,2,2,0,1,0,62,2,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410316,1,0,2,5,9,1,2011,13,6,4,44.91521389,-121.88935,99,98,1,1,4,0,1,98,0,1,0,53,1,1,0,0,0,9,0,0,0,0,0,0,0,1.0,1,999,0,1,1,1,9,99,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0
410317,2,0,3,59,11,2,2011,17,15,6,45.91736944,-119.33033333,12,6,2,3,1,8,3,1,0,1,1,56,3,0,0,0,0,9,0,1,0,0,0,0,0,1.0,0,999,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,99,0
410318,1,0,2,33,11,6,2011,11,6,4,42.68546389,-123.36253333,5,0,1,1,1,8,1,98,0,1,1,47,1,1,0,0,0,9,0,0,0,0,0,0,1,0.0,99,999,1,0,0,0,9,99,1,0,0,0,0,0,0,0,0,0,0,0,0,99,11
