ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,MONTH,DAY_WEEK,YEAR,HOUR,ROAD_FNC,ROUTE,LATITUDE,LONGITUD,HARM_EV,MAN_COLL,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER,SCH_BUS,FATALS,DRUNK_DR,AGE,SEX_1,SEX_2,SEX_8,SEX_9,REST_MIS,DRUGS,BT_Sedan,BT_Pickup,BT_SUV_Van,BT_Motorcyle,BT_Truck,BT_Bus,BT_Unknown_Other,BT_Motorcycle,OOS_REG,TRAV_SP,DR_DRINK,PREV_ACC,PREV_DWI,PREV_SPD,SPEED_REL,VSPD_LIM,ACC_TYPE_A,ACC_TYPE_B,ACC_TYPE_C,ACC_TYPE_D,ACC_TYPE_E,ACC_TYPE_F,ACC_TYPE_G,ACC_TYPE_H,ACC_TYPE_I,ACC_TYPE_J,ACC_TYPE_K,ACC_TYPE_L,ACC_TYPE_M,MDRDSTRD,MVIOLATN
410041,1,0,1,51,3,1,2013,19,14,6,45.55589444,-122.6927389,30,0,1,1,4,0,3,10,0,1,1,47,1,0,0,0,0,9,0,0,0,0,0,0,0,1.0,0,999,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410042,2,0,6,51,3,7,2013,16,15,6,45.49336944,-122.6366222,12,6,2,2,1,0,1,1,0,2,1,40,4,2,0,0,0,9,1,0,1,0,0,0,0,0.0,1,999,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0
410043,1,0,1,19,3,3,2013,16,3,3,43.29886944,-122.904,42,0,1,1,4,0,1,1,0,1,0,74,1,0,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410044,1,0,1,47,3,5,2013,0,4,4,44.73247222,-123.0215361,30,0,1,1,4,0,2,1,0,1,1,26,1,0,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410045,1,1,1,35,3,6,2013,19,13,3,42.20646111,-121.7205583,8,0,1,1,1,0,2,10,0,1,0,61,1,1,0,0,0,9,0,0,1,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410047,3,0,3,53,3,6,2013,7,2,3,44.93298333,-123.1452944,12,2,1,1,1,0,4,1,0,1,0,42,2,1,0,0,0,0,1,1,1,0,0,0,0,0.0,0,999,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,99,0
410048,2,0,3,39,3,6,2013,15,4,4,43.91767778,-123.0414389,12,2,1,1,1,0,1,10,0,1,0,32,2,1,0,0,0,9,1,1,0,0,0,0,0,0.0,0,999,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0
410049,2,0,2,67,3,1,2013,8,3,3,45.44294167,-122.9851778,12,6,2,3,1,0,1,1,0,1,0,39,2,0,0,0,0,9,2,0,0,0,0,0,0,0.0,1,999,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,99,0
410050,4,0,5,67,3,5,2013,16,12,3,45.46966944,-122.7859556,12,1,1,1,1,0,1,10,0,1,0,59,4,1,0,0,0,9,2,1,1,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,99,0
410051,1,0,1,39,3,6,2013,21,5,6,44.21652222,-123.2066861,42,0,3,3,4,1,3,1,0,1,1,23,1,0,0,0,0,9,0,1,0,0,0,0,0,0.0,0,999,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
