ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,MONTH,DAY_WEEK,YEAR,HOUR,ROAD_FNC,ROUTE,LATITUDE,LONGITUD,HARM_EV,MAN_COLL,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER,SCH_BUS,FATALS,DRUNK_DR,AGE,SEX_1,SEX_2,SEX_8,SEX_9,REST_MIS,DRUGS,BT_Sedan,BT_Pickup,BT_SUV_Van,BT_Motorcyle,BT_Truck,BT_Bus,BT_Unknown_Other,BT_Motorcycle,OOS_REG,TRAV_SP,DR_DRINK,PREV_ACC,PREV_DWI,PREV_SPD,SPEED_REL,VSPD_LIM,ACC_TYPE_A,ACC_TYPE_B,ACC_TYPE_C,ACC_TYPE_D,ACC_TYPE_E,ACC_TYPE_F,ACC_TYPE_G,ACC_TYPE_H,ACC_TYPE_I,ACC_TYPE_J,ACC_TYPE_K,ACC_TYPE_L,ACC_TYPE_M,MDRDSTRD,MVIOLATN
410053,1,1,2,51,3,7,2012,23,14,6,45.523875,-122.7074944,8,0,2,3,1,0,3,2,0,1,1,43,0,3,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,1,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,11
410054,3,0,5,39,3,4,2012,0,13,6,44.04798889,-123.1624389,12,6,2,2,1,0,3,1,0,2,0,37,4,1,0,0,0,9,2,1,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
410055,2,0,2,67,1,4,2012,7,2,2,45.62630556,-123.0873306,12,2,1,1,1,0,2,5,0,1,0,40,2,0,0,0,0,9,2,0,0,0,0,0,0,0.0,0,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0
410056,2,0,3,39,4,3,2012,14,2,3,44.12368611,-122.3858528,12,6,8,1,1,0,1,1,0,1,0,56,1,2,0,0,0,9,1,0,0,0,1,0,0,0.0,1,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,99,0
410057,1,1,4,67,4,1,2012,0,12,2,45.50743056,-122.7745611,8,0,1,1,1,0,3,1,0,1,0,20,4,1,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410058,1,1,3,43,2,6,2012,20,13,2,44.62981111,-123.0588417,8,0,1,1,1,0,2,2,0,1,0,19,4,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
410059,2,0,3,5,2,1,2012,18,3,3,45.15098889,-122.6813778,12,6,2,3,1,0,2,1,0,2,0,39,2,1,0,0,0,9,0,1,0,0,1,0,0,0.0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0
410060,1,0,1,47,3,4,2012,15,13,6,44.95828056,-122.9836056,1,0,2,3,1,0,1,1,0,1,0,80,1,0,0,0,0,9,0,0,0,0,0,0,0,1.0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0
410061,2,0,3,59,4,7,2012,10,4,6,45.78055833,-119.2050111,12,6,2,2,1,0,1,1,0,1,0,43,2,1,0,0,0,9,0,2,0,0,0,0,0,0.0,0,999,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0
410062,2,0,2,39,4,1,2012,3,4,3,43.82322778,-123.0457944,12,2,1,1,1,0,2,1,0,1,1,36,1,1,0,0,0,9,1,1,0,0,0,0,0,0.0,0,999,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0
410063,2,0,2,29,4,1,2012,11,15,6,42.382825,-122.8997639,12,6,1,1,1,0,1,1,0,1,0,39,2,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,999,0,0,0,1,1,99,0,0,0,0,0,0,0,0,1,0,0,0,0,99,0
410064,1,0,1,7,4,1,2012,11,4,3,45.93528056,-123.4992889,30,0,1,1,4,0,1,10,0,1,0,70,1,0,0,0,0,9,0,0,0,0,0,0,0,1.0,1,999,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0
410065,2,0,2,47,4,3,2012,12,2,4,45.22786944,-122.8645917,53,0,1,1,4,0,1,1,0,1,0,49,1,1,0,0,0,0,1,1,0,0,0,0,0,0.0,0,999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,99,0
410066,1,0,2,57,4,3,2012,17,3,3,45.47343611,-123.7313472,1,0,1,1,5,0,1,10,0,1,0,70,1,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0,999,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
410067,2,0,3,45,4,1,2012,15,2,2,44.42173889,-118.115425,12,2,1,1,1,0,1,1,0,3,1,44,2,1,0,0,0,9,0,1,1,0,0,0,0,0.0,1,999,1,0,0,1,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0
410068,1,1,1,5,4,4,2012,22,14,6,45.33346944,-122.5966639,8,0,1,1,1,0,2,2,0,1,0,19,1,1,0,0,0,9,1,0,0,0,0,0,0,0.0,0,999,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0
410069,1,0,1,39,4,7,2012,20,5,4,44.19576389,-123.2396944,34,0,1,1,5,0,5,1,0,1,1,50,1,0,0,0,0,9,0,0,0,0,0,0,0,1.0,0,999,1,0,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0
410070,2,0,2,7,5,4,2012,5,2,2,46.21956944,-123.8640806,12,2,1,1,1,0,4,10,0,1,0,42,2,0,0,0,0,9,1,1,0,0,0,0,0,0.0,1,999,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,0
